N,P,K,Crop
123,22,200,Garlic
184,24,130,Rice
91,16,113,Lichi
104,28,159,Guava
65,25,94,Bengal Gram (Chickpea)
164,26,189,Tomato
112,10,99,Bajra (Pearl Millet)
136,20,195,Pepper
169,19,295,Potato
173,23,133,Wheat
144,30,142,Mustard
100,23,164,Fig
89,18,150,Tapioca
137,22,182,Lemon
54,11,112,Sitaphal (Custard Apple)
55,20,132,Sitaphal (Custard Apple)
66,15,148,Cashewnut
177,24,284,Sugarcane
103,20,186,Ginger
127,21,162,Safflower
129,25,166,Guava
173,22,262,Coconut
108,23,119,Chillies
97,17,141,Muskmelon
87,21,153,Pineapple
139,10,106,Ragi (Finger Millet)
159,17,242,Sugarcane
147,22,164,Garlic
133,24,105,Chillies
107,23,156,Garlic
152,27,136,Wheat
50,18,114,Sitaphal (Custard Apple)
140,17,106,Ragi (Finger Millet)
131,29,164,Ginger
188,30,244,Mango
142,17,139,Castor
140,22,195,Avocado
183,20,132,Paddy
122,26,191,Pomegranate
105,22,184,Orange
181,25,294,Banana
121,16,145,Chillies
181,21,182,Maize
139,25,186,Guava
59,30,107,Bengal Gram (Chickpea)
60,24,131,Soybean
109,17,143,Cotton
129,22,157,Avocado
96,18,118,Lichi
196,22,144,Paddy
122,19,179,Dragon Fruit
194,23,234,Potato
57,25,143,Cashewnut
114,26,120,Mustard
63,23,136,Groundnut
176,18,207,Coconut
79,21,127,Mesta
191,20,156,Onion
193,28,145,Wheat
71,11,120,Horse Gram
193,15,258,Potato
127,25,188,Guava
62,18,143,Groundnut
62,20,116,Black Gram (Urad)
97,11,160,Tapioca
96,17,193,Pineapple
150,20,181,Safflower
103,16,101,Cotton
129,18,157,Lemon
140,19,150,Castor
60,22,106,Avare (Field Bean)
105,28,187,Tobacco
115,27,188,Garlic
117,27,169,Tobacco
167,23,192,Tomato
147,15,184,Sunflower
56,25,149,Soybean
64,17,105,Tur (Arhar/Toor Dal)
188,20,294,Banana
81,18,122,Cardamom
114,22,187,Pepper
90,12,108,Muskmelon
200,25,215,Mango
77,18,107,Lichi
90,18,123,Muskmelon
66,10,114,Cowpea
122,21,126,Castor
145,25,191,Orange
75,15,93,Sesame
127,18,184,Safflower
96,16,140,Mesta
126,30,171,Tobacco
96,21,112,Mesta
113,29,199,Avocado
182,20,291,Potato
153,25,300,Grapes
73,11,97,Cowpea
108,19,119,Ragi (Finger Millet)
107,18,152,Safflower
77,11,101,Lichi
100,12,106,Navane (Foxtail Millet)
82,17,200,Tapioca
196,19,232,Potato
76,14,110,Linseed
140,25,123,Mustard
185,25,204,Arecanut
70,13,120,Cowpea
66,11,102,Niger Seed
150,26,200,Avocado
54,15,89,Black Gram (Urad)
116,15,116,Ragi (Finger Millet)
168,25,284,Grapes
121,22,187,Guava
140,28,151,Avocado
175,29,295,Grapes
92,17,137,Mesta
116,26,180,Ginger
51,11,89,Green Gram (Moong)
131,24,176,Avocado
93,16,140,Watermelon
165,24,145,Rice
146,21,154,Safflower
171,21,178,Onion
63,11,111,Black Gram (Urad)
59,10,108,Horse Gram
182,19,261,Coconut
60,22,86,Avare (Field Bean)
96,20,152,Pineapple
112,14,84,Bajra (Pearl Millet)
89,22,169,Sapota
140,17,97,Navane (Foxtail Millet)
174,22,158,Jackfruit
143,22,164,Tobacco
117,16,142,Cotton
86,20,150,Cardamom
157,18,133,Paddy
121,21,185,Garlic
146,23,163,Tobacco
127,16,114,Ragi (Finger Millet)
165,21,194,Tomato
51,23,92,Avare (Field Bean)
90,11,128,Watermelon
192,22,117,Paddy
179,16,244,Potato
169,24,281,Banana
50,20,106,Cowpea
177,29,239,Arecanut
67,18,118,Horse Gram
66,16,141,Coriander
104,15,159,Lemon
53,20,116,Groundnut
169,24,286,Mango
56,10,105,Niger Seed
78,21,113,Cardamom
83,21,198,Sapota
129,29,154,Garlic
196,27,168,Onion
153,23,299,Potato
131,10,91,Bajra (Pearl Millet)
110,18,193,Dragon Fruit
145,30,197,Tobacco
72,20,118,Horse Gram
100,23,168,Sapota
191,18,100,Rice
156,22,182,Maize
106,26,170,Guava
77,16,138,Lichi
110,16,178,Orange
65,15,96,Sunhemp
87,15,187,Pineapple
187,26,165,Jackfruit
130,20,177,Orange
53,20,82,Black Gram (Urad)
117,30,177,Avocado
150,25,169,Safflower
138,23,154,Guava
134,20,97,Jowar (Sorghum)
165,27,217,Grapes
56,11,118,Black Gram (Urad)
173,19,109,Rice
52,18,100,Groundnut
50,13,118,Black Gram (Urad)
144,23,162,Cabbage
149,26,182,Turmeric
117,25,183,Tobacco
170,26,283,Grapes
151,22,272,Potato
74,18,124,Sitaphal (Custard Apple)
99,14,105,Lichi
177,22,171,Onion
72,26,96,Bengal Gram (Chickpea)
132,12,88,Navane (Foxtail Millet)
74,15,115,Black Gram (Urad)
86,11,118,Linseed
133,24,181,Lemon
109,26,199,Turmeric
68,20,108,Tur (Arhar/Toor Dal)
80,11,179,Tapioca
185,20,188,Tomato
76,10,143,Lichi
61,12,145,Sitaphal (Custard Apple)
171,29,179,Tomato
99,18,241,Sweet Potato
60,27,100,Bengal Gram (Chickpea)
103,23,169,Tobacco
172,27,140,Wheat
173,23,236,Sugarcane
81,20,107,Muskmelon
93,21,170,Pineapple
155,20,221,Coconut
72,21,98,Bengal Gram (Chickpea)
55,19,108,Black Gram (Urad)
86,25,159,Fig
162,17,114,Rice
123,30,160,Tobacco
147,24,186,Turmeric
109,30,162,Tobacco
134,15,123,Castor
67,14,85,Sunhemp
186,27,211,Mango
59,24,113,Soybean
164,25,194,Onion
152,28,180,Jackfruit
129,21,177,Guava
186,30,234,Mango
144,26,168,Garlic
120,21,177,Pepper
60,15,145,Coriander
139,30,170,Avocado
59,20,97,Bengal Gram (Chickpea)
168,21,180,Jackfruit
124,20,131,Cotton
155,22,251,Arecanut
133,30,164,Pepper
76,19,132,Linseed
185,23,147,Rice
107,25,151,Avocado
176,27,234,Mango
103,22,172,Garlic
86,19,109,Lichi
196,28,178,Onion
190,16,269,Coconut
88,20,105,Mesta
62,16,118,Horse Gram
121,16,147,Cotton
134,23,180,Pomegranate
79,18,171,Pineapple
60,22,94,Bengal Gram (Chickpea)
133,13,117,Ragi (Finger Millet)
72,11,83,Sunhemp
132,28,180,Turmeric
198,19,295,Coconut
70,22,81,Bengal Gram (Chickpea)
101,23,183,Lemon
170,16,129,Paddy
89,19,199,Tapioca
103,21,160,Pomegranate
175,20,289,Banana
120,18,102,Navane (Foxtail Millet)
116,26,111,Mustard
67,15,108,Niger Seed
53,12,86,Niger Seed
68,19,130,Tur (Arhar/Toor Dal)
131,30,168,Turmeric
131,20,169,Turmeric
153,18,281,Sugarcane
65,26,115,Soybean
154,21,176,Maize
107,16,140,Cotton
63,16,121,Coriander
60,14,96,Cowpea
130,21,176,Orange
55,11,103,Cowpea
67,15,109,Niger Seed
118,11,83,Ragi (Finger Millet)
143,26,174,Ginger
128,16,183,Dragon Fruit
123,27,166,Turmeric
63,28,95,Bengal Gram (Chickpea)
87,11,168,Tapioca
148,17,157,Lemon
87,19,160,Fig
50,15,100,Horse Gram
50,17,144,Groundnut
74,15,102,Sunhemp
111,20,158,Garlic
81,15,177,Tapioca
141,17,183,Lemon
96,17,266,Sweet Potato
66,14,110,Horse Gram
56,11,105,Horse Gram
154,26,129,Wheat
120,26,194,Avocado
106,18,80,Bajra (Pearl Millet)
80,10,106,Lichi
174,20,268,Arecanut
69,19,127,Tur (Arhar/Toor Dal)
129,23,189,Avocado
176,16,203,Sugarcane
121,20,158,Dragon Fruit
100,25,196,Pepper
75,15,131,Cashewnut
70,16,117,Green Gram (Moong)
86,15,191,Pineapple
66,17,85,Niger Seed
75,21,144,Tur (Arhar/Toor Dal)
172,22,248,Coconut
137,24,192,Ginger
147,23,123,Chillies
137,10,113,Jowar (Sorghum)
114,23,107,Mustard
97,20,148,Muskmelon
94,13,171,Tapioca
151,20,143,Rice
132,22,188,Orange
100,15,153,Dragon Fruit
134,13,110,Bajra (Pearl Millet)
195,26,158,Jackfruit
61,21,118,Avare (Field Bean)
179,25,121,Wheat
110,30,182,Turmeric
53,24,112,Bengal Gram (Chickpea)
133,23,168,Garlic
130,18,172,Orange
138,25,195,Orange
74,14,106,Green Gram (Moong)
51,14,84,Niger Seed
174,20,272,Banana
138,26,178,Pepper
118,20,83,Jowar (Sorghum)
98,18,112,Muskmelon
125,24,171,Sunflower
154,19,282,Potato
62,16,110,Sitaphal (Custard Apple)
77,20,164,Pineapple
81,18,177,Fig
141,19,139,Cotton
127,22,127,Mustard
82,14,193,Tapioca
60,29,103,Bengal Gram (Chickpea)
88,12,132,Watermelon
116,19,96,Ragi (Finger Millet)
72,15,113,Sitaphal (Custard Apple)
115,19,116,Chillies
73,17,147,Tur (Arhar/Toor Dal)
187,25,220,Coconut
188,24,257,Grapes
131,13,92,Jowar (Sorghum)
80,19,110,Mesta
76,19,186,Sapota
92,15,142,Watermelon
164,15,114,Paddy
139,26,185,Guava
96,12,148,Lichi
78,12,156,Tapioca
150,29,152,Guava
74,12,83,Green Gram (Moong)
94,20,188,Sapota
130,15,94,Bajra (Pearl Millet)
171,15,170,Maize
57,22,103,Bengal Gram (Chickpea)
171,23,167,Tomato
141,18,134,Cotton
127,25,175,Avocado
87,20,133,Cardamom
102,17,193,Orange
97,24,96,Sesame
187,24,110,Wheat
147,18,150,Sunflower
177,25,178,Onion
118,26,163,Pepper
139,29,174,Avocado
188,21,179,Tomato
128,24,163,Guava
89,22,219,Sweet Potato
84,13,112,Muskmelon
172,24,159,Jackfruit
154,17,298,Banana
118,23,196,Pomegranate
54,12,114,Horse Gram
114,26,181,Pomegranate
124,10,160,Dragon Fruit
63,22,112,Bengal Gram (Chickpea)
153,20,244,Mango
86,25,150,Mesta
105,24,186,Safflower
149,14,119,Jowar (Sorghum)
186,22,200,Tomato
59,18,91,Cowpea
110,23,169,Orange
65,19,135,Tur (Arhar/Toor Dal)
102,29,109,Mustard
83,24,174,Pineapple
82,13,112,Linseed
134,25,151,Garlic
100,24,137,Cotton
106,29,111,Mustard
73,24,129,Groundnut
70,23,92,Avare (Field Bean)
88,20,171,Tapioca
108,27,120,Mustard
140,21,174,Ginger
50,10,101,Niger Seed
113,26,144,Mustard
186,26,115,Wheat
75,20,91,Sunhemp
110,30,146,Mustard
63,14,96,Cowpea
100,19,164,Fig
154,15,261,Potato
121,28,163,Pomegranate
87,25,143,Cardamom
129,22,131,Castor
51,17,115,Coriander
181,26,169,Onion
103,22,132,Chillies
147,22,194,Orange
135,22,131,Mustard
170,25,174,Onion
76,15,200,Pineapple
64,26,108,Bengal Gram (Chickpea)
145,15,122,Cotton
148,13,81,Ragi (Finger Millet)
96,25,130,Mesta
105,22,166,Tobacco
160,27,157,Tomato
167,18,136,Paddy
75,13,100,Lichi
149,17,176,Lemon
116,19,171,Safflower
159,26,119,Wheat
64,17,94,Niger Seed
98,16,132,Lichi
195,21,195,Tomato
91,15,168,Fig
99,10,176,Tapioca
106,24,150,Guava
51,24,102,Bengal Gram (Chickpea)
164,23,105,Rice
56,25,135,Soybean
120,22,180,Guava
177,15,147,Paddy
142,25,151,Pepper
162,22,262,Mango
166,27,183,Onion
61,17,120,Cowpea
172,22,283,Coconut
144,17,122,Cotton
137,23,135,Chillies
55,23,110,Groundnut
72,17,83,Cowpea
140,11,83,Bajra (Pearl Millet)
200,27,177,Onion
74,19,114,Cowpea
63,22,142,Tur (Arhar/Toor Dal)
140,21,168,Cabbage
108,24,169,Cabbage
141,15,103,Cotton
163,24,160,Onion
80,13,141,Linseed
78,18,205,Sweet Potato
57,16,92,Black Gram (Urad)
64,29,106,Soybean
95,25,260,Sweet Potato
115,30,153,Avocado
92,20,123,Lichi
90,16,148,Mesta
159,22,132,Wheat
54,12,110,Cowpea
156,21,184,Onion
96,11,136,Lichi
83,18,112,Linseed
174,25,126,Rice
85,16,139,Cardamom
155,19,267,Banana
97,22,145,Mesta
57,19,82,Black Gram (Urad)
164,15,224,Potato
70,15,99,Black Gram (Urad)
144,25,123,Chillies
91,21,101,Cardamom
90,18,105,Muskmelon
123,17,194,Orange
53,20,146,Soybean
70,19,119,Cashewnut
57,10,100,Sitaphal (Custard Apple)
96,22,215,Sweet Potato
143,29,184,Garlic
197,21,124,Rice
192,30,195,Tomato
164,27,188,Jackfruit
91,11,200,Tapioca
185,24,297,Arecanut
107,29,176,Tobacco
143,22,192,Garlic
54,15,110,Cashewnut
150,23,153,Guava
83,19,99,Sesame
52,10,101,Sitaphal (Custard Apple)
65,16,98,Horse Gram
50,23,106,Avare (Field Bean)
99,23,171,Fig
156,24,109,Rice
175,30,179,Jackfruit
144,22,190,Tobacco
178,27,184,Tomato
54,16,104,Horse Gram
141,20,158,Avocado
174,24,187,Tomato
96,20,136,Cardamom
167,29,199,Jackfruit
69,10,116,Coriander
74,19,85,Avare (Field Bean)
180,25,296,Potato
196,20,217,Coconut
81,19,100,Mesta
81,24,168,Pineapple
69,12,103,Coriander
53,15,148,Coriander
81,16,121,Muskmelon
77,18,111,Cardamom
128,29,170,Pomegranate
81,21,263,Sweet Potato
95,13,194,Tapioca
137,22,176,Tobacco
62,22,80,Bengal Gram (Chickpea)
54,11,119,Sunhemp
100,23,196,Safflower
72,15,103,Black Gram (Urad)
76,14,138,Watermelon
58,29,148,Soybean
176,17,199,Maize
198,23,122,Wheat
60,11,149,Sitaphal (Custard Apple)
85,25,282,Sweet Potato
61,14,102,Black Gram (Urad)
116,20,187,Avocado
78,24,124,Mesta
165,25,269,Potato
97,25,183,Sapota
145,28,165,Turmeric
84,16,105,Sesame
110,23,185,Pepper
57,22,95,Avare (Field Bean)
172,26,165,Tomato
59,15,112,Coriander
60,16,101,Cashewnut
189,21,170,Tomato
69,23,146,Tur (Arhar/Toor Dal)
146,13,111,Jowar (Sorghum)
90,15,180,Fig
156,16,101,Rice
75,13,118,Watermelon
156,17,209,Sugarcane
156,24,165,Jackfruit
106,29,153,Turmeric
159,18,291,Coconut
64,19,124,Sitaphal (Custard Apple)
136,15,185,Orange
176,27,294,Grapes
152,29,151,Onion
171,22,172,Tomato
105,29,185,Tobacco
140,28,135,Mustard
65,16,122,Sitaphal (Custard Apple)
68,14,84,Cowpea
96,15,147,Mesta
96,11,147,Watermelon
81,13,117,Muskmelon
133,13,117,Jowar (Sorghum)
188,28,111,Wheat
69,18,89,Cowpea
114,19,138,Castor
198,20,246,Arecanut
182,19,166,Maize
120,29,192,Garlic
136,25,192,Tobacco
183,24,152,Maize
108,14,104,Bajra (Pearl Millet)
127,19,113,Ragi (Finger Millet)
85,19,128,Linseed
66,20,145,Groundnut
129,30,178,Avocado
64,20,118,Coriander
166,15,264,Banana
127,25,133,Cotton
176,23,287,Banana
75,15,126,Sitaphal (Custard Apple)
58,20,106,Groundnut
138,29,185,Avocado
146,17,134,Castor
127,15,127,Castor
161,24,266,Banana
193,23,119,Rice
82,12,135,Linseed
65,15,146,Cashewnut
71,14,103,Sitaphal (Custard Apple)
87,15,228,Sweet Potato
79,14,188,Tapioca
150,24,195,Pomegranate
77,18,109,Mesta
74,17,107,Cashewnut
142,26,187,Ginger
156,25,109,Rice
106,15,106,Jowar (Sorghum)
178,22,300,Banana
122,14,110,Ragi (Finger Millet)
112,12,95,Bajra (Pearl Millet)
91,22,139,Cardamom
121,30,151,Avocado
129,22,113,Cotton
138,16,101,Navane (Foxtail Millet)
144,12,197,Dragon Fruit
118,22,181,Avocado
104,30,182,Pepper
80,15,150,Muskmelon
120,17,88,Navane (Foxtail Millet)
55,20,95,Horse Gram
177,21,293,Mango
75,15,130,Sitaphal (Custard Apple)
114,30,159,Pomegranate
62,12,87,Niger Seed
175,29,166,Jackfruit
116,23,182,Garlic
134,18,102,Ragi (Finger Millet)
76,25,285,Sweet Potato
82,16,129,Muskmelon
147,21,123,Cotton
150,26,173,Ginger
108,29,153,Avocado
132,26,170,Tobacco
54,10,103,Black Gram (Urad)
108,15,192,Orange
57,17,91,Sunhemp
75,17,114,Cashewnut
145,28,189,Pomegranate
101,28,174,Turmeric
112,23,169,Ginger
116,23,158,Avocado
189,20,186,Onion
137,24,188,Pomegranate
80,15,180,Sapota
93,18,129,Cardamom
79,21,83,Sesame
93,11,164,Tapioca
117,23,164,Pomegranate
112,20,184,Pomegranate
93,10,112,Watermelon
178,21,186,Tomato
183,21,120,Rice
190,24,134,Wheat
154,18,259,Coconut
138,17,188,Sunflower
51,25,148,Soybean
132,14,91,Ragi (Finger Millet)
100,23,183,Tobacco
62,24,91,Bengal Gram (Chickpea)
118,19,90,Jowar (Sorghum)
199,28,206,Arecanut
63,25,112,Groundnut
95,20,102,Mesta
88,22,235,Sweet Potato
158,16,200,Potato
77,18,96,Sesame
86,17,132,Linseed
173,16,180,Maize
187,15,161,Maize
160,20,167,Maize
129,30,167,Avocado
87,10,144,Lichi
72,25,112,Cashewnut
67,15,105,Sunhemp
140,15,115,Navane (Foxtail Millet)
89,15,109,Lichi
118,19,109,Cotton
86,20,127,Linseed
151,21,219,Coconut
76,20,222,Sweet Potato
64,25,143,Soybean
56,16,119,Tur (Arhar/Toor Dal)
128,25,125,Mustard
161,21,179,Tomato
108,20,100,Castor
194,21,194,Jackfruit
75,24,167,Pineapple
60,15,118,Cowpea
57,14,89,Sunhemp
145,25,118,Cotton
75,18,199,Sapota
142,17,123,Castor
153,15,142,Paddy
56,17,96,Black Gram (Urad)
144,24,107,Cotton
197,16,128,Paddy
108,20,163,Safflower
102,11,83,Bajra (Pearl Millet)
138,16,86,Bajra (Pearl Millet)
173,16,138,Rice
100,10,117,Ragi (Finger Millet)
183,25,191,Onion
170,17,198,Maize
192,24,145,Rice
54,16,103,Cashewnut
75,19,183,Fig
150,16,120,Jowar (Sorghum)
118,25,170,Ginger
78,23,161,Pineapple
70,10,110,Horse Gram
134,18,99,Navane (Foxtail Millet)
56,25,118,Tur (Arhar/Toor Dal)
75,25,144,Cardamom
57,18,122,Coriander
182,29,197,Onion
53,16,88,Sunhemp
64,10,96,Green Gram (Moong)
73,25,136,Soybean
134,30,166,Pomegranate
153,23,137,Wheat
117,17,81,Bajra (Pearl Millet)
85,11,101,Muskmelon
143,18,142,Castor
91,19,140,Muskmelon
96,14,136,Watermelon
152,19,239,Coconut
129,29,195,Pomegranate
117,22,101,Mustard
149,23,167,Garlic
76,21,157,Fig
181,23,140,Wheat
65,16,114,Cashewnut
164,17,180,Maize
200,28,202,Grapes
115,20,194,Cabbage
150,23,185,Lemon
72,17,120,Horse Gram
169,17,232,Potato
81,10,126,Muskmelon
191,29,197,Tomato
88,19,141,Linseed
79,18,119,Sesame
75,22,121,Mesta
195,17,215,Potato
164,24,212,Arecanut
65,17,128,Cashewnut
75,22,128,Groundnut
67,18,97,Green Gram (Moong)
163,21,278,Banana
141,24,165,Garlic
182,15,284,Banana
141,26,171,Avocado
135,14,174,Dragon Fruit
190,21,140,Rice
187,26,261,Grapes
81,23,126,Cardamom
175,19,300,Sugarcane
183,16,291,Potato
139,29,151,Tobacco
52,20,93,Black Gram (Urad)
96,21,106,Sesame
125,16,174,Orange
162,23,286,Sugarcane
86,15,106,Muskmelon
98,12,138,Watermelon
68,25,83,Avare (Field Bean)
129,21,188,Lemon
86,16,126,Linseed
59,29,113,Bengal Gram (Chickpea)
174,20,268,Potato
57,18,96,Avare (Field Bean)
187,20,175,Tomato
137,20,195,Guava
53,24,116,Cashewnut
54,16,80,Black Gram (Urad)
59,20,120,Black Gram (Urad)
176,15,278,Coconut
53,27,97,Bengal Gram (Chickpea)
136,16,194,Safflower
62,17,134,Cashewnut
149,27,191,Tobacco
185,24,268,Potato
198,24,297,Grapes
151,21,150,Paddy
128,28,192,Garlic
130,16,190,Safflower
173,25,274,Grapes
194,16,275,Sugarcane
125,17,98,Ragi (Finger Millet)
119,12,165,Dragon Fruit
111,18,171,Dragon Fruit
101,20,197,Garlic
107,25,195,Garlic
178,20,214,Sugarcane
147,25,188,Sunflower
83,16,176,Tapioca
120,20,167,Tobacco
183,24,221,Sugarcane
